requirement_id,section,testability,profiles,schema_artifacts,evidence_catalogue_ids,test_ids,verification_note
GAAM-DEL-006,2.8 Delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-POL-001,"2.9 Permission, prohibition, obligation and constraint",reviewable,foundation;machine-actionable-governance,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-POL-002,"2.9 Permission, prohibition, obligation and constraint",reviewable,foundation;machine-actionable-governance,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-POL-003,"2.10 Policy, rule and control",procedural,foundation;machine-actionable-governance,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-POL-004,"2.10 Policy, rule and control",reviewable,foundation;machine-actionable-governance,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-POL-005,"2.10 Policy, rule and control",reviewable,foundation;machine-actionable-governance,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-EVID-001,2.11 Claim and assertion,mixed,foundation-or-contextual,decision-receipt.schema.json,EVD-BEH-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-EVID-002,2.12 Evidence,behavioural-testable,foundation-or-contextual,decision-receipt.schema.json,EVD-BEH-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected;inferred-evidence-bounded-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-EVID-003,2.12 Evidence,mixed,foundation-or-contextual,decision-receipt.schema.json,EVD-BEH-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-EVID-004,2.12 Evidence,mixed,foundation-or-contextual,decision-receipt.schema.json,EVD-BEH-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-001,2.13 Verification and assessment,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-002,2.13 Verification and assessment,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-003,2.14 Assurance,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-004,2.14 Assurance,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEC-001,2.15 Trust decision,behavioural-testable,foundation-or-contextual,decision-receipt.schema.json,EVD-DEC-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected;decision-policy-superseded-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEC-002,2.15 Trust decision,behavioural-testable,foundation-or-contextual,decision-receipt.schema.json,EVD-DEC-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected;decision-policy-superseded-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEC-003,2.15 Trust decision,behavioural-testable,foundation-or-contextual,decision-receipt.schema.json,EVD-DEC-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected;decision-policy-superseded-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-EFF-001,2.16 Effect,reviewable,foundation-or-contextual,,EVD-DEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-EFF-002,2.16 Effect,behavioural-testable,foundation-or-contextual,,EVD-DEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-CTX-001,2.17 Governance context,reviewable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-CTX-002,2.17 Governance context,procedural,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-EVT-001,2.18 Governance event,mixed,foundation-or-contextual,governance-event.schema.json,EVD-LIF-001,lifecycle-event-order-valid;lifecycle-event-order-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-EVT-002,2.18 Governance event,mixed,foundation-or-contextual,governance-event.schema.json,EVD-LIF-001,lifecycle-event-order-valid;lifecycle-event-order-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ACC-001,2.19 Accountability,mixed,foundation,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-review-not-independent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ACC-002,2.19 Accountability,mixed,foundation,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-review-not-independent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ACC-003,2.19 Accountability,mixed,foundation,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-review-not-independent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-HARM-001,2.20 Harm and remedy,mixed,foundation-or-contextual,,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-HARM-002,2.20 Harm and remedy,mixed,foundation-or-contextual,,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-REL-001,3.1 Required relationship properties,behavioural-testable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REL-002,3.1 Required relationship properties,procedural,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REL-003,3.3 Relationship invariants,behavioural-testable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REL-004,3.3 Relationship invariants,procedural,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REL-005,3.3 Relationship invariants,procedural,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REL-006,3.3 Relationship invariants,behavioural-testable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-001,4.1 Governance framework,reviewable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-002,4.1 Governance framework,structural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-003,4.1 Governance framework,reviewable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-004,4.2.3 Localisation,reviewable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-005,4.2.3 Localisation,reviewable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-006,4.2.5 Governance topology,behavioural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-007,4.2.6 Governing authority,behavioural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-008,4.2.10 Agentic applicability declaration,behavioural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-009,4.2.12 Governance-state publication,behavioural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-010,4.2.15 Revisions,reviewable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-011,4.2.15 Revisions,reviewable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GF-012,4.2.15 Revisions,behavioural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AUTH-006,5.1 Authority topology patterns,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-AUTH-007,5.1 Authority topology patterns,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-007,5.2 Delegation lifecycle,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-008,5.2 Delegation lifecycle,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-009,5.2 Delegation lifecycle,mixed,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-010,5.3 Multi-hop delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-011,5.3 Multi-hop delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-012,5.4 Fan-out and convergence,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-013,5.4 Fan-out and convergence,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-AUTH-008,5.5 Emergency authority,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-001,6.1 Runtime governance envelope,behavioural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-002,6.1 Runtime governance envelope,behavioural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-003,6.1 Runtime governance envelope,behavioural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-004,6.2 Decision outcomes,behavioural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected;degraded-operation-fail-safe-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-005,6.3 Decision receipt,structural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-006,6.3 Decision receipt,structural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-007,6.3 Decision receipt,structural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-008,6.4 Ongoing evaluation,mixed,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RUN-009,6.4 Ongoing evaluation,behavioural-testable,agentic-systems;runtime-governance,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-AGT-001,7.1 Agent identity and continuity,reviewable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-002,7.1 Agent identity and continuity,reviewable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-003,7.1 Agent identity and continuity,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-004,7.2 Agent principals and accountable parties,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-005,7.2 Agent principals and accountable parties,reviewable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-006,7.3 Task-bound authority,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-007,7.3 Task-bound authority,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-008,7.3 Task-bound authority,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-009,7.4 Planning and policy evaluation,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-010,7.4 Planning and policy evaluation,behavioural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-011,7.5 Redelegation and sub-agents,behavioural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-012,7.5 Redelegation and sub-agents,behavioural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-013,7.5 Redelegation and sub-agents,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-014,7.6 Multi-agent coordination,reviewable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-015,7.6 Multi-agent coordination,reviewable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-016,7.6 Multi-agent coordination,structural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-017,7.7 Tool governance,behavioural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-018,7.7 Tool governance,behavioural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-019,7.8 Human oversight and guardianship,reviewable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-020,7.8 Human oversight and guardianship,procedural,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-021,7.9 Agent suspension and termination,behavioural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AGT-022,7.9 Agent suspension and termination,behavioural-testable,agentic-systems,,EVD-DEL-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-001,8.1 Trust graph,behavioural-testable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-002,8.1 Trust graph,behavioural-testable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-003,8.4 Graph provenance and integrity,reviewable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-004,8.4 Graph provenance and integrity,procedural,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-005,8.4 Graph provenance and integrity,reviewable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-006,8.5 Graph traversal,behavioural-testable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-007,8.5 Graph traversal,reviewable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-008,8.6 Conflicting claims,reviewable,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-GRAPH-009,8.6 Conflicting claims,procedural,foundation-or-contextual,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REG-001,8.7 Registry governance,procedural,trust-graph,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REG-002,8.7 Registry governance,structural-testable,trust-graph,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REG-003,8.7 Registry governance,structural-testable,trust-graph,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REG-004,8.7 Registry governance,structural-testable,trust-graph,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REG-005,8.8 Registry federation and recognition,procedural,trust-graph,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-REG-006,8.8 Registry federation and recognition,structural-testable,trust-graph,,EVD-LIF-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-ASSUR-005,9.1 Assurance forms,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-006,9.2 Assurance providers,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-007,9.2 Assurance providers,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-008,9.3 Continuous assurance,observable,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-009,9.3 Continuous assurance,observable,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-OBS-001,9.4 Observability,mixed,foundation-or-contextual,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-OBS-002,9.4 Observability,mixed,foundation-or-contextual,,EVD-OPS-001,runtime-revocation-fail-closed-valid;runtime-stale-state-fail-open-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-010,9.5 Trust marks,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASSUR-011,9.5 Trust marks,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RISK-001,10.1 Risk model,behavioural-testable,foundation-or-contextual,,EVD-SEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-RISK-002,10.2 Impact thresholds,observable,foundation-or-contextual,,EVD-SEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-HARM-003,10.3 Cumulative and systemic harm,behavioural-testable,high-impact-systems,,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;remedy-propagation-verified-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-HARM-004,10.3 Cumulative and systemic harm,mixed,high-impact-systems,,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RISK-003,10.4 Safety controls,behavioural-testable,foundation-or-contextual,,EVD-SEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-RED-001,11.1 Affected parties,mixed,foundation-or-contextual,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RED-002,11.2 Notice and explanation,behavioural-testable,foundation-or-contextual,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RED-003,11.2 Notice and explanation,behavioural-testable,foundation-or-contextual,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RED-004,11.3 Challenge and review,mixed,high-impact-systems,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
